eval,source,viewport,level,name,evidence,report_path,suite,model,model_slug,source_kind,screenshot_name,bbox_px
benchmark-comparison,vlm,mobile-deep,fail,vision_alignment_issue,The 'Warnings per eval' chart x-axis labels overlap into an unreadable run of text in the mobile layout.,results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,benchmark-comparison-mobile-deep.png,"{'x': 205, 'y': 731, 'width': 165, 'height': 14}"
benchmark-comparison,vlm,mobile-deep,warn,vision_clipped_content,"The per-eval table is wider than the mobile viewport and visible columns are cut off at the right edge, requiring horizontal scrolling to read the row values.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,benchmark-comparison-mobile-deep.png,"{'x': 8, 'y': 946, 'width': 377, 'height': 193}"
benchmark-comparison,vlm,desktop,fail,vision_alignment_issue,"In the 'Warnings per eval' chart, the category labels overlap heavily and are not individually readable.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,benchmark-comparison-desktop.png,"{'x': 360, 'y': 728, 'width': 310, 'height': 20}"
benchmark-comparison,vlm,mobile,fail,vision_alignment_issue,The 'Warnings per eval' chart x-axis labels overlap into an unreadable string in the mobile viewport.,results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,benchmark-comparison-mobile.png,"{'x': 205, 'y': 731, 'width': 165, 'height': 14}"
implementation-plan,vlm,deep,fail,vision_unstyled_render,"The page appears to be rendered with default browser styling only: serif text, default bullets/numbering, no card/panel styling, spacing system, or Birch visual treatment despite the artifact claiming embedded Birch styling.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,implementation-plan-deep.png,"{'x': 0, 'y': 0, 'width': 1366, 'height': 2487}"
implementation-plan,vlm,mobile-deep,fail,vision_unstyled_render,"Mobile render also appears as default unstyled HTML with browser-default typography and lists, lacking the expected Birch layout/styling. Content is readable, but the visual system appears missing.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,implementation-plan-mobile-deep.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 2504}"
implementation-plan,vlm,desktop,fail,vision_unstyled_render,"Desktop viewport shows default browser rendering rather than a styled Birch artifact: plain serif headings/body, default list indentation, and no visible embedded design system styling.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,implementation-plan-desktop.png,"{'x': 0, 'y': 0, 'width': 1366, 'height': 900}"
implementation-plan,vlm,mobile,fail,vision_unstyled_render,"Mobile viewport is rendered as plain default HTML with no visible Birch styling, cards, spacing primitives, or styled components.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,implementation-plan-mobile.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 900}"
module-explainer,vlm,deep,fail,vision_flow_disconnected,"The 'Runtime Path — Input Pairs to Reports' diagram is arranged as isolated columns with only small downward arrows under each step. There is no continuous connector from steps 1 through 5 to the output step, so the implied pipeline path is visually disconnected and ambiguous.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,module-explainer-deep.png,"{'x': 20, 'y': 420, 'width': 1220, 'height': 260}"
module-explainer,vlm,mobile-deep,fail,vision_clipped_content,"In the mobile deep view, the 'Extension Points & Where to Change Behavior' table extends beyond the viewport with the Notes column cut off, leaving important content offscreen and requiring horizontal scrolling.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,module-explainer-mobile-deep.png,"{'x': 0, 'y': 2290, 'width': 390, 'height': 700}"
module-explainer,vlm,desktop,fail,vision_flow_disconnected,"The runtime pipeline appears as separate step columns with downward arrows but no visible links between adjacent steps, and the output step is detached below the first column rather than connected from the visual metrics step.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,module-explainer-desktop.png,"{'x': 20, 'y': 420, 'width': 1220, 'height': 260}"
numeric-data,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: []; embedded=False; embedded_bytes=0,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-desktop.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,desktop,fail,has_page_shell,candidate should use .page as the outer shell,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-desktop.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,desktop,warn,uses_layout_primitives,too few Birch layout primitives; LLM layout may be brittle,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-desktop.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,desktop,warn,uses_semantic_components,too few semantic components; likely still page-specific CSS,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-desktop.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,desktop,warn,local_css_size,9565 bytes of local CSS; consider moving recurring patterns into birch-system.css,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-desktop.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,desktop,fail,no_birch_gradients,Birch artifacts use flat token surfaces; page-local gradient backgrounds are not allowed,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-desktop.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,desktop,fail,metric_row_contract,.metric-row must be caption + .meter + code; examples: Timeline 99.0% | Design System 98.0% | Component Variants 96.0%,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-desktop.json,publish,haiku45,haiku45,clean-final,,
code-review,deterministic,desktop,fail,no_patch_markers,found line beginning with +,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-desktop.json,publish,haiku45,haiku45,clean-final,,
benchmark-comparison,deterministic,desktop,fail,metric_row_contract,.metric-row must be caption + .meter + code; examples: vs. Seed A +0.048 | vs. Seed A −3 | Failures 0 | vs. Seed A +18.7%,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-desktop.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: []; embedded=False; embedded_bytes=0,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile,fail,has_page_shell,candidate should use .page as the outer shell,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile,warn,uses_layout_primitives,too few Birch layout primitives; LLM layout may be brittle,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile,warn,uses_semantic_components,too few semantic components; likely still page-specific CSS,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile,warn,local_css_size,9565 bytes of local CSS; consider moving recurring patterns into birch-system.css,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile,fail,no_birch_gradients,Birch artifacts use flat token surfaces; page-local gradient backgrounds are not allowed,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile,fail,metric_row_contract,.metric-row must be caption + .meter + code; examples: Timeline 99.0% | Design System 98.0% | Component Variants 96.0%,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
code-review,deterministic,mobile,fail,no_patch_markers,found line beginning with +,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
code-review,deterministic,mobile,fail,layout_overflow,article.card.stack > div.stack > div > div.code-block > pre overX=72 overY=0 offRight=0; article.card.stack > div.stack > div > div.code-block > pre overX=29 overY=0 offRight=0; article.card.stack > div.stack > div > div.code-block > pre overX=65 overY=0 offRight=0; article.card.stack > div.stack > div > div.code-block > pre overX=79 overY=0 offRight=0,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
benchmark-comparison,deterministic,mobile,fail,metric_row_contract,.metric-row must be caption + .meter + code; examples: vs. Seed A +0.048 | vs. Seed A −3 | Failures 0 | vs. Seed A +18.7%,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,deep,fail,uses_birch_system_css,stylesheet links: []; embedded=False; embedded_bytes=0,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,deep,fail,has_page_shell,candidate should use .page as the outer shell,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,deep,warn,uses_layout_primitives,too few Birch layout primitives; LLM layout may be brittle,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,deep,warn,uses_semantic_components,too few semantic components; likely still page-specific CSS,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,deep,warn,local_css_size,9565 bytes of local CSS; consider moving recurring patterns into birch-system.css,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,deep,fail,no_birch_gradients,Birch artifacts use flat token surfaces; page-local gradient backgrounds are not allowed,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,deep,fail,metric_row_contract,.metric-row must be caption + .meter + code; examples: Timeline 99.0% | Design System 98.0% | Component Variants 96.0%,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-deep.json,publish,haiku45,haiku45,clean-final,,
code-review,deterministic,deep,fail,no_patch_markers,found line beginning with +,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-deep.json,publish,haiku45,haiku45,clean-final,,
benchmark-comparison,deterministic,deep,fail,metric_row_contract,.metric-row must be caption + .meter + code; examples: vs. Seed A +0.048 | vs. Seed A −3 | Failures 0 | vs. Seed A +18.7%,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: []; embedded=False; embedded_bytes=0,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile-deep,fail,has_page_shell,candidate should use .page as the outer shell,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile-deep,warn,uses_layout_primitives,too few Birch layout primitives; LLM layout may be brittle,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile-deep,warn,uses_semantic_components,too few semantic components; likely still page-specific CSS,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile-deep,warn,local_css_size,9565 bytes of local CSS; consider moving recurring patterns into birch-system.css,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile-deep,fail,no_birch_gradients,Birch artifacts use flat token surfaces; page-local gradient backgrounds are not allowed,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
numeric-data,deterministic,mobile-deep,fail,metric_row_contract,.metric-row must be caption + .meter + code; examples: Timeline 99.0% | Design System 98.0% | Component Variants 96.0%,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
code-review,deterministic,mobile-deep,fail,no_patch_markers,found line beginning with +,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
code-review,deterministic,mobile-deep,fail,layout_overflow,article.card.stack > div.stack > div > div.code-block > pre overX=72 overY=0 offRight=0; article.card.stack > div.stack > div > div.code-block > pre overX=29 overY=0 offRight=0; article.card.stack > div.stack > div > div.code-block > pre overX=65 overY=0 offRight=0; article.card.stack > div.stack > div > div.code-block > pre overX=79 overY=0 offRight=0,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
benchmark-comparison,deterministic,mobile-deep,fail,metric_row_contract,.metric-row must be caption + .meter + code; examples: vs. Seed A +0.048 | vs. Seed A −3 | Failures 0 | vs. Seed A +18.7%,results/publish/models/haiku45/reports/skill-with-shell-haiku45-publication-final-mobile-deep.json,publish,haiku45,haiku45,clean-final,,
benchmark-comparison,vlm,deep,warn,vision_overlap,"In the quality-vs-cost chart, the x-axis title overlaps the tick labels around 15–20%, making the axis labeling harder to read.",results/publish/models/haiku45/reports/vision-findings.json,publish,haiku45,haiku45,clean-final,benchmark-comparison-deep.png,"{'x': 417, 'y': 937, 'width': 155, 'height': 25}"
benchmark-comparison,vlm,mobile-deep,warn,vision_overlap,"In the mobile chart, the x-axis title overlaps the tick labels and baseline labels near the bottom of the plot.",results/publish/models/haiku45/reports/vision-findings.json,publish,haiku45,haiku45,clean-final,benchmark-comparison-mobile-deep.png,"{'x': 151, 'y': 1362, 'width': 84, 'height': 21}"
benchmark-comparison,vlm,desktop,warn,vision_overlap,"In the visible quality-vs-cost chart, the x-axis title overlaps the tick labels near the bottom of the plot.",results/publish/models/haiku45/reports/vision-findings.json,publish,haiku45,haiku45,clean-final,benchmark-comparison-desktop.png,"{'x': 420, 'y': 887, 'width': 150, 'height': 13}"
code-review,vlm,mobile-deep,warn,vision_clipped_content,"Mobile render has page-level horizontal overflow: a horizontal scrollbar is visible, the top 'Files: ...' badge is cut off at the right edge, and multiple code blocks extend beyond the viewport. Main prose remains readable, so this is a warning rather than a fail.",results/publish/models/haiku45/reports/vision-findings.json,publish,haiku45,haiku45,clean-final,code-review-mobile-deep.png,"{'x': 0, 'y': 0, 'width': 393, 'height': 5008}"
code-review,vlm,mobile,warn,vision_clipped_content,Mobile viewport shows page-level horizontal overflow with a horizontal scrollbar; the 'Files: scripts/check_candle_renderings.py + 2 new fi...' badge is clipped offscreen and the first code block extends beyond the visible area. Main content is still mostly readable.,results/publish/models/haiku45/reports/vision-findings.json,publish,haiku45,haiku45,clean-final,code-review-mobile.png,"{'x': 0, 'y': 0, 'width': 393, 'height': 900}"
numeric-data,vlm,mobile-deep,fail,vision_chart_malformed,"In the 'Artifact Progress (Latest Week)' panel, the mobile rendering shows each progress row as a mostly blank card with only the label and percentage; the green horizontal progress bars visible in the desktop rendering are missing, making the chart visually incomplete/misleading.",results/publish/models/haiku45/reports/vision-findings.json,publish,haiku45,haiku45,clean-final,numeric-data-mobile-deep.png,"{'x': 16, 'y': 1034, 'width': 343, 'height': 646}"
module-explainer,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/kimi/reports/skill-with-shell-kimi-publication-final-visionfill-desktop.json,publish,kimi,kimi,clean-final,,
module-explainer,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/kimi/reports/skill-with-shell-kimi-publication-final-visionfill-mobile.json,publish,kimi,kimi,clean-final,,
module-explainer,deterministic,mobile,fail,layout_overflow,table.numeric-table > tbody > tr > td.note > code overX=0 overY=0 offRight=16; table.numeric-table > tbody > tr > td.note > code overX=0 overY=0 offRight=62; main.page.stack > section.section.stack > div.grid > article.card.stack > pre.code-block overX=713 overY=0 offRight=0; main.page.stack > section.section.stack > div.grid > article.card.stack > pre.code-block overX=290 overY=0 offRight=0,results/publish/models/kimi/reports/skill-with-shell-kimi-publication-final-visionfill-mobile.json,publish,kimi,kimi,clean-final,,
module-explainer,deterministic,deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/kimi/reports/skill-with-shell-kimi-publication-final-visionfill-deep.json,publish,kimi,kimi,clean-final,,
module-explainer,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/kimi/reports/skill-with-shell-kimi-publication-final-visionfill-mobile-deep.json,publish,kimi,kimi,clean-final,,
module-explainer,deterministic,mobile-deep,fail,layout_overflow,table.numeric-table > tbody > tr > td.note > code overX=0 overY=0 offRight=16; table.numeric-table > tbody > tr > td.note > code overX=0 overY=0 offRight=62; main.page.stack > section.section.stack > div.grid > article.card.stack > pre.code-block overX=713 overY=0 offRight=0; main.page.stack > section.section.stack > div.grid > article.card.stack > pre.code-block overX=290 overY=0 offRight=0,results/publish/models/kimi/reports/skill-with-shell-kimi-publication-final-visionfill-mobile-deep.json,publish,kimi,kimi,clean-final,,
benchmark-comparison,vlm,mobile-deep,warn,vision_clipped_content,"The deep mobile screenshot ends immediately after the 'Recommended experiment' heading, while the corresponding desktop deep render shows a recommendation card below it. The section's body appears missing/clipped in the mobile deep capture.",results/publish/models/kimi/reports/vision-findings.json,publish,kimi,kimi,clean-final,benchmark-comparison-mobile-deep.png,"{'x': 18, 'y': 5010, 'width': 340, 'height': 74}"
module-explainer,vlm,deep,fail,vision_unstyled_render,"The page appears to be rendered with browser-default styling rather than the intended Birch styling: default serif type, unstyled sections/lists/table, and missing card/layout treatment throughout the document.",results/publish/models/kimi/reports/vision-findings.json,publish,kimi,kimi,clean-final,module-explainer-deep.png,"{'x': 0, 'y': 0, 'width': 1622, 'height': 2810}"
module-explainer,vlm,deep,fail,vision_flow_disconnected,"The runtime flow diagram is rendered as isolated black rounded rectangles with no visible connector path and mostly no readable node labels, so the implied pipeline from inputs to reports cannot be traced.",results/publish/models/kimi/reports/vision-findings.json,publish,kimi,kimi,clean-final,module-explainer-deep.png,"{'x': 373, 'y': 786, 'width': 589, 'height': 674}"
module-explainer,vlm,mobile-deep,fail,vision_unstyled_render,The mobile page appears largely unstyled with browser-default serif typography and missing Birch layout/card styling across the artifact.,results/publish/models/kimi/reports/vision-findings.json,publish,kimi,kimi,clean-final,module-explainer-mobile-deep.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 3073}"
module-explainer,vlm,mobile-deep,fail,vision_flow_disconnected,"The flow diagram is reduced to disconnected black bars with no visible connecting lines and unreadable/missing node labels, making the process order ambiguous.",results/publish/models/kimi/reports/vision-findings.json,publish,kimi,kimi,clean-final,module-explainer-mobile-deep.png,"{'x': 108, 'y': 1132, 'width': 159, 'height': 188}"
module-explainer,vlm,mobile-deep,fail,vision_clipped_content,"The runtime-flow table overflows the mobile viewport; right-side columns and prose are visibly cut off, leaving only partial text at the edge.",results/publish/models/kimi/reports/vision-findings.json,publish,kimi,kimi,clean-final,module-explainer-mobile-deep.png,"{'x': 0, 'y': 1418, 'width': 390, 'height': 430}"
module-explainer,vlm,desktop,fail,vision_unstyled_render,The viewport is rendered with browser-default styling rather than the expected Birch visual system: default serif headings/body text and missing styled containers/layout.,results/publish/models/kimi/reports/vision-findings.json,publish,kimi,kimi,clean-final,module-explainer-desktop.png,"{'x': 0, 'y': 0, 'width': 1366, 'height': 900}"
module-explainer,vlm,desktop,warn,vision_flow_disconnected,"The first visible node of the flow diagram appears as a solid black unlabeled rounded bar; the rest of the diagram is below the fold, but this visible SVG/diagram mark already appears malformed/unreadable.",results/publish/models/kimi/reports/vision-findings.json,publish,kimi,kimi,clean-final,module-explainer-desktop.png,"{'x': 527, 'y': 805, 'width': 296, 'height': 66}"
module-explainer,vlm,mobile,fail,vision_unstyled_render,"The mobile viewport uses browser-default styling and lacks the expected Birch layout/typographic treatment, indicating the rendered artifact is mostly unstyled.",results/publish/models/kimi/reports/vision-findings.json,publish,kimi,kimi,clean-final,module-explainer-mobile.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 900}"
module-explainer,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: ['../styles/birch-system.css']; embedded=False; embedded_bytes=0,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-desktop.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=6271,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-desktop.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,desktop,warn,uses_layout_primitives,too few Birch layout primitives; LLM layout may be brittle,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-desktop.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,desktop,fail,no_unknown_css_vars,"undefined CSS vars: --size-sm, --size-xs",results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-desktop.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,desktop,fail,layout_overflow,section > div.auto-grid > article.card > ol.flow-list > li.flow-step overX=3 overY=0 offRight=0,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-desktop.json,publish,minimax27,minimax27,clean-final,,
benchmark-comparison,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-desktop.json,publish,minimax27,minimax27,clean-final,,
benchmark-comparison,deterministic,desktop,fail,grid_list_item_children,"grid-based insight/takeaway list items should wrap content in one child; examples: Token comparability: Provider token schemas differ; cached, reasoning, and effective token | Checker limitations: Checker warnings are mechanical contract signals, not a complete huma | Screenshot validation: Same:same screenshot pairs validate geometry and rendering contract | Wall time noise: Wall time includes model latency and harness overhead; small differences ",results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-desktop.json,publish,minimax27,minimax27,clean-final,,
module-explainer,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: ['../styles/birch-system.css']; embedded=False; embedded_bytes=0,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=6271,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,mobile,warn,uses_layout_primitives,too few Birch layout primitives; LLM layout may be brittle,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,mobile,fail,no_unknown_css_vars,"undefined CSS vars: --size-sm, --size-xs",results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,mobile,fail,layout_overflow,body > main.page.stack > section > div.card > pre.reference-panel.mono overX=38 overY=0 offRight=0; main.page.stack > section > div.card > pre.reference-panel.mono > code overX=0 overY=0 offRight=9,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,mobile,fail,container_text_overflow,main.page.stack > section > div.card > pre.reference-panel.mono > code spills within body > main.page.stack > section > div.card > pre.reference-panel.mono right=38px left=0px scrollX=0px (449/427px),results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile.json,publish,minimax27,minimax27,clean-final,,
benchmark-comparison,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile.json,publish,minimax27,minimax27,clean-final,,
benchmark-comparison,deterministic,mobile,fail,grid_list_item_children,"grid-based insight/takeaway list items should wrap content in one child; examples: Token comparability: Provider token schemas differ; cached, reasoning, and effective token | Checker limitations: Checker warnings are mechanical contract signals, not a complete huma | Screenshot validation: Same:same screenshot pairs validate geometry and rendering contract | Wall time noise: Wall time includes model latency and harness overhead; small differences ",results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile.json,publish,minimax27,minimax27,clean-final,,
module-explainer,deterministic,deep,fail,uses_birch_system_css,stylesheet links: ['../styles/birch-system.css']; embedded=False; embedded_bytes=0,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-deep.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=6271,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-deep.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,deep,warn,uses_layout_primitives,too few Birch layout primitives; LLM layout may be brittle,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-deep.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,deep,fail,no_unknown_css_vars,"undefined CSS vars: --size-sm, --size-xs",results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-deep.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,deep,fail,layout_overflow,section > div.auto-grid > article.card > ol.flow-list > li.flow-step overX=3 overY=0 offRight=0,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-deep.json,publish,minimax27,minimax27,clean-final,,
benchmark-comparison,deterministic,deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-deep.json,publish,minimax27,minimax27,clean-final,,
benchmark-comparison,deterministic,deep,fail,grid_list_item_children,"grid-based insight/takeaway list items should wrap content in one child; examples: Token comparability: Provider token schemas differ; cached, reasoning, and effective token | Checker limitations: Checker warnings are mechanical contract signals, not a complete huma | Screenshot validation: Same:same screenshot pairs validate geometry and rendering contract | Wall time noise: Wall time includes model latency and harness overhead; small differences ",results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-deep.json,publish,minimax27,minimax27,clean-final,,
module-explainer,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: ['../styles/birch-system.css']; embedded=False; embedded_bytes=0,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile-deep.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=6271,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile-deep.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,mobile-deep,warn,uses_layout_primitives,too few Birch layout primitives; LLM layout may be brittle,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile-deep.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,mobile-deep,fail,no_unknown_css_vars,"undefined CSS vars: --size-sm, --size-xs",results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile-deep.json,publish,minimax27,minimax27,clean-final,,
implementation-plan,deterministic,mobile-deep,fail,layout_overflow,body > main.page.stack > section > div.card > pre.reference-panel.mono overX=38 overY=0 offRight=0; main.page.stack > section > div.card > pre.reference-panel.mono > code overX=0 overY=0 offRight=9,results/publish/models/minimax27/reports/skill-with-shell-minimax27-publication-final-mobile-deep.json,publish,minimax27,minimax27,clean-final,,
